252;Kellie Coffey;KELLIECOFFEY;When You Lie Next To Me;01/06/2002
253;Bon Jovi;BONJOVI;In These Arms;08/05/1993
254;Spice Girls;SPICEGIRLS;Goodbye;26/12/1998
255;James;JAMES;Laid;05/02/1994
256;INXS;INXS;Original Sin;28/04/1984
257;INXS;INXS;Listen Like Thieves;10/05/1986
258;INXS;INXS;Devil Inside;13/02/1988
259;Shanice;SHANICE;I Love Your Smile;23/11/1991
260;Sixpence None The Richer;SIXPENCENONERICHER;Kiss Me;28/11/1998
261;Talking Heads;TALKINGHEADS;This Must Be The Place;26/11/1983
262;Bow Wow Wow;BOWWOWWOW;I Want Candy;29/05/1982
263;Mike ;MIKE;All I Need Is A Miracle;22/03/1986
264;Better Than Ezra;BETTERTHANEZRA;Good;01/07/1995
265;Aerosmith;AEROSMITH;Rag Doll;04/06/1988
266;Concrete Blonde;CONCRETEBLONDE;Joey;18/08/1990
267;Madonna;MADONNA;Don t Tell Me;09/12/2000
268;Eagles;EAGLES;I Can't Tell You Why;23/02/1980
269;Yes;YES;Roundabout;12/02/1972
270;Pearl Jam;PEARLJAM;I Am Mine;12/10/2002
271;Sheryl Crow;SHERYLCROW;Anything But Down;10/04/1999
272;Supertramp;SUPERTRAMP;Goodbye Stranger;07/07/1979
273;Def Leppard;DEFLEPPARD;Hysteria;23/01/1988
274;Dave Matthews Band;DAVEMATTHEWSBAND;I Did It;27/01/2001
275;Styx;STYX;Renegade;17/03/1979
276;The Cure;CURE;High;04/04/1992
277;Eagles;EAGLES;Heartache Tonight;06/10/1979
278;The Beach Boys;BEACHBOYS;Caroline, No;26/03/1966
279;Psychedelic Furs;PSYCHEDELICFURS;The Ghost In You;12/05/1984
280;Backstreet Boys;BACKSTREETBOYS;Everybody [Backstreet s Back];18/04/1998
281;Shaggy;SHAGGY;It Wasn't Me;04/11/2000
282;George Benson;GEORGEBENSON;Breezin';16/10/1976
283;The Cure;CURE;Never Enough;03/11/1990
284;Meat Loaf;MEATLOAF;I'd Lie For You (And That's The Truth);21/10/1995
285;Madonna;MADONNA;Rescue Me;02/03/1991
286;Blur;BLUR;Girls ;25/06/1994
287;Madonna;MADONNA;Vogue;14/04/1990
288;Vitamin C;VITAMINC;Graduation (Friends Forever);15/04/2000
289;Eagles;EAGLES;Witchy Woman;09/09/1972
290;Eagles;EAGLES;Peaceful Easy Feeling;30/12/1972
291;Eagles;EAGLES;Best Of My Love;30/11/1974
292;Eagles;EAGLES;James Dean;21/09/1974
293;Eagles;EAGLES;Lyin' Eyes;13/09/1975
294;Eagles;EAGLES;Take It To The Limit;20/12/1975
295;Def Leppard;DEFLEPPARD;Love Bites;13/08/1988
296;Jimmy Eat World;JIMMYEATWORLD;Sweetness;03/08/2002
297;Jackson Browne;JACKSONBROWNE;Doctor My Eyes;18/03/1972
298;Sweet;SWEET;Love Is Like Oxygen;18/02/1978
299;Styx;STYX;Come Sail Away;24/09/1977
300;matchbox twenty;MATCHBOXTWENTY;Bright Lights;27/09/2003
301;Maxwell;MAXWELL;This Woman's Work;16/03/2002
302;Spacehog;SPACEHOG;In The Meantime;06/04/1996
303;Oingo Boingo;OINGOBOINGO;Weird Science;31/08/1985
304;Bob Seger;BOBSEGER;Hollywood Nights;12/08/1978
305;Nilsson;NILSSON;Coconut;10/06/1972
306;Fleetwood Mac;FLEETWOODMAC;Everywhere;28/11/1987
307;Foreigner;FOREIGNER;Dirty White Boy;08/09/1979
308;Van Halen;VANHALEN;And The Cradle Will Rock...;24/05/1980
309;Willie Nelson;WILLIENELSON;My Heroes Have Always Been Cowboys;09/02/1980
310;Sean Paul;SEANPAUL;Like Glue;07/06/2003
311;Color Me Badd;COLORMEBADD;Choose;15/01/1994
312;De La Soul;DELASOUL;Breakadawn;18/09/1993
313;Boston;BOSTON;Peace Of Mind;14/05/1977
314;Seal;SEAL;Prayer For The Dying;11/06/1994
315;Genesis;GENESIS;Mama;01/10/1983
316;Maxwell;MAXWELL;Lifetime;08/09/2001
317;Peter Gabriel;PETERGABRIEL;Sledgehammer;10/05/1986
318;Van Halen;VANHALEN;Why Can t This Be Love;15/03/1986
319;Genesis;GENESIS;Abacab;26/12/1981
320;Lauryn Hill;LAURYNHILL;Ex-Factor;09/01/1999
321;Faith Hill;FAITHHILL;If My Heart Had Wings;03/02/2001
322;Lonestar;LONESTAR;I'm Already There;05/05/2001
323;Kylie Minogue;KYLIEMINOGUE;Can't Get You Out Of My Head;26/01/2002
324;Joni Mitchell;JONIMITCHELL;Big Yellow Taxi;25/07/1970
325;Johnny Cash;JOHNNYCASH;Ring Of Fire;01/06/1963
326;Madonna;MADONNA;Justify My Love;17/11/1990
327;Carole King;CAROLEKING;Smackwater Jack;04/09/1971
328;Kiss;KISS;Detroit Rock City;04/09/1976
